town,month,resale_price,price_diff,price_log,price_log_diff
ANG MO KIO,2000-01-01,226608.0,,12.330976931454178,
ANG MO KIO,2000-02-01,218060.0,-8548.0,12.292525533260372,-0.038451398193805275
ANG MO KIO,2000-03-01,225270.0,7210.0,12.325054961762039,0.0325294285016664
ANG MO KIO,2000-04-01,225847.0,577.0,12.327613057841994,0.0025580960799551633
ANG MO KIO,2000-05-01,217008.0,-8839.0,12.287689498202496,-0.03992355963949734
ANG MO KIO,2000-06-01,206930.0,-10078.0,12.240135850805874,-0.04755364739662227
ANG MO KIO,2000-07-01,209958.0,3028.0,12.254662789696939,0.01452693889106449
ANG MO KIO,2000-08-01,211637.0,1679.0,12.262627821903427,0.007965032206488587
ANG MO KIO,2000-09-01,207450.0,-4187.0,12.242645625761014,-0.019982196142413144
ANG MO KIO,2000-10-01,206478.0,-972.0,12.237949148177432,-0.004696477583582492
ANG MO KIO,2000-11-01,206392.0,-86.0,12.237532552148446,-0.00041659602898569403
ANG MO KIO,2000-12-01,210491.0,4099.0,12.257198175846119,0.019665623697672885
ANG MO KIO,2001-01-01,207680.0,-2811.0,12.243753712497861,-0.01344446334825733
ANG MO KIO,2001-02-01,206045.0,-1635.0,12.235849870517676,-0.007903841980185788
ANG MO KIO,2001-03-01,200539.0,-5506.0,12.20876402052913,-0.027085849988544908
ANG MO KIO,2001-04-01,196956.0,-3583.0,12.190735632519935,-0.018028388009195595
ANG MO KIO,2001-05-01,192274.0,-4682.0,12.16667671702758,-0.024058915492355837
ANG MO KIO,2001-06-01,200277.0,8003.0,12.207456687302335,0.04077997027475533
ANG MO KIO,2001-07-01,190824.0,-9453.0,12.159106816249428,-0.048349871052906224
ANG MO KIO,2001-08-01,197431.0,6607.0,12.193144435191806,0.03403761894237789
ANG MO KIO,2001-09-01,181457.0,-15974.0,12.108773990017795,-0.08437044517401127
ANG MO KIO,2001-10-01,189764.0,8307.0,12.153536473827343,0.044762483809547504
ANG MO KIO,2001-11-01,187648.0,-2116.0,12.142323146366214,-0.01121332746112813
ANG MO KIO,2001-12-01,189969.0,2321.0,12.15461617993619,0.01229303356997491
ANG MO KIO,2002-01-01,186565.0,-3404.0,12.136534982814283,-0.01808119712190681
ANG MO KIO,2002-02-01,186480.0,-85.0,12.136079273709639,-0.0004557091046439865
ANG MO KIO,2002-03-01,192083.0,5603.0,12.165682849265462,0.02960357555582327
ANG MO KIO,2002-04-01,189430.0,-2653.0,12.151774842122325,-0.013908007143136558
ANG MO KIO,2002-05-01,186212.0,-3218.0,12.13464108857986,-0.017133753542465158
ANG MO KIO,2002-06-01,203169.0,16957.0,12.221793423993029,0.08715233541316891
ANG MO KIO,2002-07-01,205254.0,2085.0,12.232003515553522,0.01021009156049324
ANG MO KIO,2002-08-01,194250.0,-11004.0,12.176901268229894,-0.055102247323628006
ANG MO KIO,2002-09-01,206224.0,11974.0,12.236718235644561,0.05981696741466713
ANG MO KIO,2002-10-01,186025.0,-20199.0,12.133636352265462,-0.10308188337909918
ANG MO KIO,2002-11-01,193498.0,7473.0,12.173022455481245,0.03938610321578295
ANG MO KIO,2002-12-01,194897.0,1399.0,12.180226492868208,0.007204037386962625
ANG MO KIO,2003-01-01,182675.0,-12222.0,12.115463896659419,-0.06476259620878899
ANG MO KIO,2003-02-01,188988.0,6313.0,12.149438799962581,0.03397490330316266
ANG MO KIO,2003-03-01,205903.0,16915.0,12.235160463089436,0.08572166312685425
ANG MO KIO,2003-04-01,207532.0,1629.0,12.243040823630162,0.007880360540726272
ANG MO KIO,2003-05-01,200342.0,-7190.0,12.207781185144777,-0.03525963848538538
ANG MO KIO,2003-06-01,201007.0,665.0,12.211095012305453,0.003313827160676297
ANG MO KIO,2003-07-01,200425.0,-582.0,12.208195390911152,-0.0028996213943006666
ANG MO KIO,2003-08-01,197617.0,-2808.0,12.194086092983994,-0.014109297927157982
